name,kw,nl
vector_bm25,0.3984,0.4654
vector_sbert,0.4729,0.5364
vector_simCSE,0.071,0.2514
rerank_ft,0.3197,0.3916
rerank_sbert,0.487,0.4716
rerank_simCSE,0.3317,0.372
