name,kw,nl
vector_bm25,0.198,0.3945
rerank_ft,0.1478,0.3806
rerank_sbert,0.245,0.4508
rerank_simCSE,0.1722,0.4535
rerank_sup_simCSE,0.103,0.3631
rerank_sup_simCSE_para_mean,0.103,0.3592
rerank_sup_simCSE_para_max,0.1037,0.3504
