name,kw,nl
vector_bm25,0.1617,0.0174
vector_sbert,0.0,0.0
vector_simCSE,0.0,0.0506
vector_sup_simCSE,0.0,0.017
sup_simCSE_para_mean,0.0,0.0162
sup_simCSE_para_max,0.0,0.0162
rerank_ft,0.1662,0.0174
rerank_sbert,0.1592,0.0178
rerank_simCSE,0.1595,0.0174
rerank_sup_simCSE,0.2551,0.0205
rerank_sup_simCSE_para_mean,0.2562,0.0214
rerank_sup_simCSE_para_max,0.2566,0.0214
